Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2024-09-16T20:06:34.250;173;0,9
2024-09-16T20:06:35.217;173;0,9
2024-09-16T20:06:36.228;173;0,7
2024-09-16T20:06:37.221;172;0,7
2024-09-16T20:06:38.231;172;0,8
2024-09-16T20:06:39.222;171;0,8
2024-09-16T20:06:40.261;171;0,9
2024-09-16T20:06:41.227;171;0,9
2024-09-16T20:06:42.306;171;0,9
2024-09-16T20:06:43.233;170;0,9
2024-09-16T20:06:44.218;169;0,9
2024-09-16T20:06:45.232;169;1,0
2024-09-16T20:06:46.218;168;1,1
2024-09-16T20:06:47.256;167;1,3
2024-09-16T20:06:48.221;167;1,3
2024-09-16T20:06:49.211;166;1,3
2024-09-16T20:06:50.222;165;1,3
2024-09-16T20:06:51.258;165;1,3
2024-09-16T20:06:52.247;164;1,2
2024-09-16T20:06:53.218;163;1,2
2024-09-16T20:06:54.245;163;1,2
2024-09-16T20:06:55.216;163;1,0
2024-09-16T20:06:56.256;163;1,2
2024-09-16T20:06:57.219;161;0,9
2024-09-16T20:06:58.212;160;0,9
2024-09-16T20:06:59.229;159;0,9
2024-09-16T20:07:00.262;159;0,9
2024-09-16T20:07:01.253;158;1,0
2024-09-16T20:07:02.210;157;1,1
2024-09-16T20:07:03.251;156;1,1
2024-09-16T20:07:04.218;156;1,1
2024-09-16T20:07:05.255;156;1,1
2024-09-16T20:07:06.245;156;1,2
2024-09-16T20:07:07.217;156;1,2
2024-09-16T20:07:08.238;155;1,2
2024-09-16T20:07:09.268;153;1,5
2024-09-16T20:07:10.246;153;1,5
2024-09-16T20:07:11.219;152;1,5
2024-09-16T20:07:12.216;152;1,4
2024-09-16T20:07:13.198;152;1,4
2024-09-16T20:07:14.258;152;1,4
2024-09-16T20:07:15.247;153;1,4
2024-09-16T20:07:16.258;153;1,4
2024-09-16T20:07:17.283;152;1,4
2024-09-16T20:07:18.268;152;1,5
2024-09-16T20:07:19.247;150;1,3
2024-09-16T20:07:20.233;150;1,0
2024-09-16T20:07:21.209;149;1,0
2024-09-16T20:07:22.218;148;1,0
2024-09-16T20:07:23.266;149;1,0
2024-09-16T20:07:24.240;149;1,2
2024-09-16T20:07:25.213;149;1,1
2024-09-16T20:07:26.247;149;1,4
2024-09-16T20:07:27.261;148;1,6
2024-09-16T20:07:28.248;146;1,6
2024-09-16T20:07:29.213;145;1,6
2024-09-16T20:07:30.208;144;1,5
2024-09-16T20:07:31.241;144;1,5
2024-09-16T20:07:32.344;145;1,8
2024-09-16T20:07:33.238;146;1,8
2024-09-16T20:07:34.207;147;1,8
2024-09-16T20:07:35.199;147;1,9
2024-09-16T20:07:36.260;147;1,8
2024-09-16T20:07:37.264;147;1,8
2024-09-16T20:07:38.237;146;1,7
2024-09-16T20:07:39.200;146;1,5
2024-09-16T20:07:40.238;145;1,4
2024-09-16T20:07:41.259;145;1,4
2024-09-16T20:07:42.240;145;1,3
2024-09-16T20:07:43.230;144;1,4
2024-09-16T20:07:44.207;144;1,1
2024-09-16T20:07:45.249;144;1,0
2024-09-16T20:07:46.248;144;0,9
2024-09-16T20:07:47.219;144;0,8
2024-09-16T20:07:48.206;145;0,8
2024-09-16T20:07:49.193;144;0,8
2024-09-16T20:07:50.249;144;0,7
2024-09-16T20:07:51.221;144;0,7
2024-09-16T20:07:52.236;143;0,8
2024-09-16T20:07:53.199;143;0,8
2024-09-16T20:07:54.245;143;0,8
2024-09-16T20:07:55.223;143;0,7
2024-09-16T20:07:56.281;143;0,8
2024-09-16T20:07:57.268;144;0,8
2024-09-16T20:07:58.192;144;1,3
2024-09-16T20:07:59.253;145;1,2
2024-09-16T20:08:00.311;145;1,2
2024-09-16T20:08:01.207;145;1,2
2024-09-16T20:08:02.194;145;1,2
2024-09-16T20:08:03.233;145;1,2
2024-09-16T20:08:04.246;145;1,2
2024-09-16T20:08:05.239;145;1,2
2024-09-16T20:08:06.270;144;1,2
2024-09-16T20:08:07.236;145;1,2
2024-09-16T20:08:08.265;145;1,1
2024-09-16T20:08:09.241;145;1,1
2024-09-16T20:08:10.231;144;0,6
2024-09-16T20:08:11.198;144;0,7
2024-09-16T20:08:12.235;144;0,7
2024-09-16T20:08:13.244;144;0,6
2024-09-16T20:08:14.235;144;0,6
2024-09-16T20:08:15.270;144;0,6
2024-09-16T20:08:16.195;145;0,6
2024-09-16T20:08:17.232;145;0,6
2024-09-16T20:08:18.240;144;0,9
2024-09-16T20:08:19.228;143;1,1
2024-09-16T20:08:20.217;143;1,1
2024-09-16T20:08:21.275;142;1,1
2024-09-16T20:08:22.260;142;1,1
2024-09-16T20:08:23.215;143;1,1
2024-09-16T20:08:24.203;143;1,1
2024-09-16T20:08:25.192;143;1,1
2024-09-16T20:08:26.274;143;1,1
2024-09-16T20:08:27.293;144;1,1
2024-09-16T20:08:28.234;144;1,1
2024-09-16T20:08:29.217;143;1,1
2024-09-16T20:08:30.234;144;0,8
2024-09-16T20:08:31.222;143;0,6
2024-09-16T20:08:32.238;143;0,6
2024-09-16T20:08:33.223;143;0,7
2024-09-16T20:08:34.194;143;0,6
2024-09-16T20:08:35.230;143;0,5
2024-09-16T20:08:36.240;143;0,5
2024-09-16T20:08:37.274;143;0,5
2024-09-16T20:08:38.232;142;0,8
2024-09-16T20:08:39.234;142;0,9
2024-09-16T20:08:40.221;141;0,9
2024-09-16T20:08:41.215;141;1,0
2024-09-16T20:08:42.216;141;1,0
2024-09-16T20:08:43.194;141;1,2
2024-09-16T20:08:44.229;142;1,2
2024-09-16T20:08:45.215;142;1,2
2024-09-16T20:08:46.278;141;1,3
2024-09-16T20:08:49.859;141;1,3
2024-09-16T20:08:49.864;141;1,3
2024-09-16T20:08:49.870;141;1,4
2024-09-16T20:08:50.208;142;1,5
2024-09-16T20:08:51.204;143;1,5
2024-09-16T20:08:52.214;144;1,4
2024-09-16T20:08:53.228;144;1,4
2024-09-16T20:08:54.217;143;1,6
